#Photometry obtained for Haro6-13: RA=04 32 15.4174, Dec=+24 28 59.577, cone search radius=3s
lam band mag e_mag f_mag u_mag beam obsDate ref
m -- -- -- -- -- arcsec -- --
1.25e-06 2MASS:J 11.237 0.024 -- mag 0.24 unknown 2003yCat.2246....0C
1.65e-06 2MASS:H 9.319 0.02 -- mag 0.32 unknown 2003yCat.2246....0C
2.15e-06 2MASS:Ks 8.101 0.029 -- mag 0.42 unknown 2003yCat.2246....0C
0.00085 JCMT:SCUBA:F850 0.05 0.010000000149011612 -- Jy 13.8 unknown 2008ApJS..175..277D
0.00045 JCMT:SCUBA:F450 7.91 3.955 -- Jy 7.8 unknown 2008ApJS..175..277D
3.6e-06 SPITZER:I1 -- -- -- mJy 1.07 unknown 2003PASP..115..965E
4.5e-06 SPITZER:I2 602.0 66.5 -- mJy 1.33 unknown 2003PASP..115..965E
5.8e-06 SPITZER:I3 -- -- -- mJy 1.72 unknown 2003PASP..115..965E
8e-06 SPITZER:I4 529.0 49.6 -- mJy 2.37 unknown 2003PASP..115..965E
2.4e-05 SPITZER:M1 -- -- -- mJy 7.11 unknown 2003PASP..115..965E
7e-05 SPITZER:M2 -- -- -- mJy 20.7 unknown 2003PASP..115..965E
9e-06 AKARI:S9W 0.8911 0.0753 -- Jy 3.31 unknown 2010A&A...514A...1I
1.8e-05 AKARI:L18W 2.74 0.149 -- Jy 6.61 unknown 2010A&A...514A...1I
6.5e-05 AKARI:N60 5.563 0.151 -- Jy 24 unknown 2010yCat.2298....0Y
9e-05 AKARI:WIDE-S 7.146 0.589 -- Jy 33 unknown 2010yCat.2298....0Y
0.00014 AKARI:WIDE-L 11.87 1.31 -- Jy 51 unknown 2010yCat.2298....0Y
0.00016 AKARI:N160 11.66 3.08 -- Jy 59 unknown 2010yCat.2298....0Y
3.35e-06 WISE:W1 6.606 0.038 -- mag 2.1 unknown 2012wise.rept....1C
4.6e-06 WISE:W2 5.801 0.027 -- mag 2.9 unknown 2012wise.rept....1C
1.16e-05 WISE:W3 3.643 0.016 -- mag 7.3 unknown 2012wise.rept....1C
2.21e-05 WISE:W4 0.857 0.012 -- mag 14 unknown 2012wise.rept....1C
3.543e-07 SDSS:AB:u 20.6 0.051 -- mag 0.04 unknown 2012ApJS..203...21A
4.77e-07 SDSS:AB:g 18.733 0.008 -- mag 0.05 unknown 2012ApJS..203...21A
6.231e-07 SDSS:AB:r 16.286 0.004 -- mag 0.06 unknown 2012ApJS..203...21A
7.625e-07 SDSS:AB:i 14.722 0.004 -- mag 0.08 unknown 2012ApJS..203...21A
9.134e-07 SDSS:AB:z 13.399 0.004 -- mag 0.09 unknown 2012ApJS..203...21A
3.543e-07 SDSS:AB:u 20.6 0.051 -- mag 0.04 unknown 2015ApJS..219...12A
4.77e-07 SDSS:AB:g 18.733 0.008 -- mag 0.05 unknown 2015ApJS..219...12A
6.231e-07 SDSS:AB:r 16.286 0.004 -- mag 0.06 unknown 2015ApJS..219...12A
