source,Av,Av_conn
DGTau,3.2,0.8
DoAr25,4.0,
DoAr43,11.3,
[EC92]92,22.0,26.6
Elia2-34,2.3,
Elia2-32,9.8,27.0
Elia2-33,9.8,28.0
FPTau,0.8,0.2
GSS26,27.0,
GVTau,11.9,10.1
[GY92]235,9.8,
HKTau,4.7,2.8
Haro6-13,11.0,6.4
Haro6-28,4.1,1.9
Haro6-33,9.3,5.2
IRAS03220+3035,,
LZK12,3.5,
IRAS03301+3111,5.9,8.2
NAMEIRAS04108+2803B,,19.0
[BHS98]MHO2,17.1,7.6
NAMEIRAS04181+2654B,,37.0
IRAS04181+2654,,24.6
IRAS04295+2251,,18.0
IRAS04369+2539,18.0,
IRAS04489+3042,17.5,
IRAS04591-0856,,14.0
IRAS05256+3049,,
[MB91]54,9.7,9.2
2MASSJ05574918-1406080,,3.8
IRAS19247+2238,,1.9
[TS84]IRS5,7.9,
WLY2-63,9.8,24.0
EM*SR24S,10.7,3.8
TTauN,1.25,
UYAurA,1.0,
V347Aur,,1.3
VSSG1,19.7,
WL20E,18.6,
WL20W,18.6,
WLY2-42,9.8,
YLW58,6.3,1.9
