source,file,alpha_2_24um,alpha_unc,intercept_b,intercept_unc,n_points,plot
2MASSJ05574918-1406080,2MASSJ05574918-1406080_phot_cleaned_1.dat,0.3821213762704673,0.31001300214791994,-11.141667650774622,1.6280399794913507,7,plots/2MASSJ05574918-1406080_lamFlam_fit.png
DGTau,DGTau_phot_cleaned_1.dat,-0.004734382225015075,0.09774877225458073,-11.952005543510088,0.49049296691679306,9,plots/DGTau_lamFlam_fit.png
DoAr25,DoAr25_phot_cleaned_1.dat,-1.3447266731925858,0.0877333198362794,-19.817075601518585,0.4698487616368068,10,plots/DoAr25_lamFlam_fit.png
DoAr43,DoAr43_phot_cleaned_1.dat,-0.6104566969719444,0.06756137814915945,-15.5831333275384,0.33665817880658067,11,plots/DoAr43_lamFlam_fit.png
EM*SR24S,EM*SR24S_phot_cleaned_1.dat,-0.3746136037789547,0.12172464962336112,-14.036027011651276,0.6350437326885181,11,plots/EM_SR24S_lamFlam_fit.png
Elia2-32,Elia2-32_phot_cleaned_1.dat,-0.26280786602801004,0.07358794249738836,-14.181875822068239,0.3782969767965614,17,plots/Elia2-32_lamFlam_fit.png
Elia2-33,Elia2-33_phot_cleaned_1.dat,-0.37304764300203297,0.13177024115558053,-14.194430829887832,0.67775631903054,17,plots/Elia2-33_lamFlam_fit.png
FPTau,FPTau_phot_cleaned_1.dat,-1.2650832625574269,0.17896631217490688,-19.83077128587823,0.9360727027915235,5,plots/FPTau_lamFlam_fit.png
GVTau,GVTau_phot_cleaned_2.dat,0.9117832210747707,0.14440222270283942,-6.908265020643862,0.6861945992848756,8,plots/GVTau_lamFlam_fit.png
HKTau,HKTau_phot_cleaned_2.dat,-0.7267939998236418,0.21884510681362138,-16.758015898499686,1.1250513195583143,11,plots/HKTau_lamFlam_fit.png
Haro6-13,Haro6-13_phot_cleaned_1.dat,-0.022419853389513054,0.13322610455795533,-12.469295409091542,0.6576790731502464,10,plots/Haro6-13_lamFlam_fit.png
Haro6-28,Haro6-28_phot_cleaned_1.dat,-0.9143376793058667,0.08208894678437646,-18.081755000528098,0.42431165622633854,7,plots/Haro6-28_lamFlam_fit.png
Haro6-33,Haro6-33_phot_cleaned_1.dat,-0.007864321030525943,0.07098433908561189,-12.869328590017242,0.3602875804500362,13,plots/Haro6-33_lamFlam_fit.png
IRAS03301+3111,IRAS03301+3111_phot_cleaned_3.dat,0.25999581675425115,0.06874068824594118,-11.082867603191945,0.3500293210993559,12,plots/IRAS03301_3111_lamFlam_fit.png
IRAS04181+2654,IRAS04181+2654_phot_cleaned_1.dat,0.528227789755883,0.139698766132039,-10.245841361285267,0.697664270801189,8,plots/IRAS04181_2654_lamFlam_fit.png
IRAS04295+2251,IRAS04295+2251_phot_cleaned_1.dat,0.49021352154551495,0.1100074134343712,-10.22810572583084,0.5660920518605814,7,plots/IRAS04295_2251_lamFlam_fit.png
IRAS04489+3042,IRAS04489+3042_phot_cleaned_1.dat,0.14545331067520545,0.08705891736949799,-12.317837290576463,0.4500532213203911,8,plots/IRAS04489_3042_lamFlam_fit.png
IRAS04591-0856,IRAS04591-0856_phot_cleaned_1.dat,0.5346347615718235,0.14877331710571334,-10.397027402442285,0.7338816048281511,7,plots/IRAS04591-0856_lamFlam_fit.png
IRAS19247+2238,IRAS19247+2238_phot_cleaned_1.dat,-0.21814357208915583,0.18970416307586252,-14.120447974366758,0.9734261654619911,8,plots/IRAS19247_2238_lamFlam_fit.png
LZK12,LZK12_phot_cleaned_1.dat,1.6998572356949757,0.21054947986235634,-2.94354281026952,0.9858713027692296,15,plots/LZK12_lamFlam_fit.png
NAMEIRAS04108+2803B,NAMEIRAS04108+2803B_phot_cleaned_1.dat,0.9256681881235458,0.09103134906161582,-8.202818682466116,0.46339029690605404,13,plots/NAMEIRAS04108_2803B_lamFlam_fit.png
NAMEIRAS04181+2654B,NAMEIRAS04181+2654B_phot_cleaned_1.dat,0.2937030512931138,0.13501175623473333,-11.783836205732339,0.6850462900087707,7,plots/NAMEIRAS04181_2654B_lamFlam_fit.png
TTauN,TTauN_phot_cleaned_1.dat,0.24333701007421915,0.1308868789119613,-9.927741873489563,0.6104582719765822,7,plots/TTauN_lamFlam_fit.png
UYAurA,UYAurA_phot_cleaned_1.dat,-0.2167607521964561,0.06359588962653352,-13.181246016047128,0.30719510181811926,7,plots/UYAurA_lamFlam_fit.png
V347Aur,V347Aur_phot_cleaned_3.dat,-0.14181731621111685,0.11128561143758418,-13.223234345947194,0.5586547358370124,8,plots/V347Aur_lamFlam_fit.png
WLY2-42,WLY2-42_phot_cleaned_1.dat,-0.2850737163830662,0.1022120176464098,-13.545034212166724,0.5160003691223546,17,plots/WLY2-42_lamFlam_fit.png
WLY2-63,WLY2-63_phot_cleaned_1.dat,0.19785987861559967,0.1452838526933937,-11.49685900327459,0.7331050030677458,13,plots/WLY2-63_lamFlam_fit.png
YLW58,YLW58_phot_cleaned_1.dat,-0.7511006836920975,0.09685648027823596,-17.121833339429383,0.5069497859500439,11,plots/YLW58_lamFlam_fit.png
[BHS98]MHO2,[BHS98]MHO2_phot_cleaned_1.dat,0.4597220942436636,0.29081230920559026,-9.955482501670653,1.5087824352273749,12,plots/[BHS98]MHO2_lamFlam_fit.png
[EC92]92,[EC92]92_phot_cleaned_1.dat,0.6881940618862575,0.23054335717946184,-9.217808944526151,1.200708278503299,17,plots/[EC92]92_lamFlam_fit.png
[GY92]235,[GY92]235_phot_cleaned_1.dat,-0.09107113955694002,0.06853649214224568,-13.836817941268395,0.35425994730539145,17,plots/[GY92]235_lamFlam_fit.png
[MB91]54,[MB91]54_phot_cleaned_1.dat,-0.6532140768474087,0.07769402244713222,-17.117568851585656,0.4106408574500576,5,plots/[MB91]54_lamFlam_fit.png
[TS84]IRS5,[TS84]IRS5_phot_cleaned_1.dat,0.7076697562049453,0.16793490488700855,-8.598224318341101,0.8749549144353297,10,plots/[TS84]IRS5_lamFlam_fit.png
