source,file,Av_mag,alpha_obs_2_24um,alpha_obs_unc,alpha_dered_2_24um,alpha_dered_unc,n_points_obs,n_points_dered,plot,error
2MASSJ05574918-1406080,2MASSJ05574918-1406080_phot_cleaned_1.dat,3.8,0.3821213762704673,0.31001300214791994,0.2673741593589945,0.2981519010800904,7,7,plots/2MASSJ05574918-1406080_obs_plus_dered.png,
DGTau,DGTau_phot_cleaned_1.dat,3.2,-0.004734382225015075,0.09774877225458073,-0.11229947333891196,0.10430679611456388,9,9,plots/DGTau_obs_plus_dered.png,
DoAr25,DoAr25_phot_cleaned_1.dat,4.0,,,,,0,0,,"Input x outside of range defined for WD01 [0.0001 <= x <= 100.0, x has units 1/micron]"
DoAr43,DoAr43_phot_cleaned_1.dat,11.3,-0.6104566969719444,0.06756137814915945,-0.8698204057859023,0.036240394913269525,11,11,plots/DoAr43_obs_plus_dered.png,
EM*SR24S,EM*SR24S_phot_cleaned_1.dat,10.7,-0.3746136037789547,0.12172464962336112,-0.6741807426708268,0.13728989986398185,11,11,plots/EM_SR24S_obs_plus_dered.png,
Elia2-32,Elia2-32_phot_cleaned_1.dat,9.8,-0.26280786602801004,0.07358794249738836,-0.42744918512342256,0.06591040746512188,17,17,plots/Elia2-32_obs_plus_dered.png,
Elia2-33,Elia2-33_phot_cleaned_1.dat,9.8,-0.37304764300203297,0.13177024115558053,-0.5606992955398513,0.11291062005535794,17,17,plots/Elia2-33_obs_plus_dered.png,
FPTau,FPTau_phot_cleaned_1.dat,0.8,-1.2650832625574269,0.17896631217490688,-1.2842058351676335,0.17977188868332541,5,5,plots/FPTau_obs_plus_dered.png,
GVTau,GVTau_phot_cleaned_2.dat,11.9,0.9117832210747707,0.14440222270283942,0.4833911665605934,0.20260906506815518,8,8,plots/GVTau_obs_plus_dered.png,
HKTau,HKTau_phot_cleaned_2.dat,4.7,-0.7267939998236418,0.21884510681362138,-0.8180768358062629,0.20139126240771807,11,11,plots/HKTau_obs_plus_dered.png,
Haro6-13,Haro6-13_phot_cleaned_1.dat,11.0,-0.022419853389513054,0.13322610455795533,-0.30416511885575914,0.11128644924193944,10,10,plots/Haro6-13_obs_plus_dered.png,
Haro6-28,Haro6-28_phot_cleaned_1.dat,4.1,-0.9143376793058667,0.08208894678437646,-1.0114131593045033,0.0875830476453238,7,7,plots/Haro6-28_obs_plus_dered.png,
